t,unit_labor_costs_QoQ_change_annual
2025-04-01,0.2046190329814166
2025-07-01,0.0012578773202887028
1991-01-01,-0.9462149051850764
1991-04-01,0.3211817817317457
1991-07-01,0.09224226599754615
1991-10-01,0.6039566797189786
1992-01-01,-0.4350048715663487
1992-04-01,0.2655587405012996
1992-07-01,0.18739232915134285
1992-10-01,0.4992074273056186
1993-01-01,-0.42178062315311904
1993-04-01,0.15953764148076188
1993-07-01,0.06179112839152423
1993-10-01,0.5634017140719481
1994-01-01,-0.4451432740886955
1994-04-01,0.07376373940109993
1994-07-01,0.07815936384367839
1994-10-01,0.5585848892566936
1995-01-01,-0.42672389196955707
1995-04-01,0.1634624148586079
1995-07-01,0.08850174054274795
1995-10-01,0.5328822808307023
1996-01-01,-0.4346716439318763
1996-04-01,0.06812141455269716
1996-07-01,0.05182536354108791
1996-10-01,0.4929674686691987
1997-01-01,-0.3988359970392873
1997-04-01,-0.02002025234369964
1997-07-01,0.05793669359423048
1997-10-01,0.5254691761044143
1998-01-01,-0.4401519207207232
1998-04-01,0.1741320603529175
1998-07-01,0.026954534455504664
1998-10-01,0.5301982077121234
1999-01-01,-0.42965179868442005
1999-04-01,0.16751543488446186
1999-07-01,-0.0033348200161270602
1999-10-01,0.4835280117716083
2000-01-01,-0.4157179496895447
2000-04-01,0.1467822615686829
2000-07-01,0.06396075365295584
2000-10-01,0.5363477277525539
2001-01-01,-0.4606806855668115
2001-04-01,0.15424727985978715
2001-07-01,0.029384676045759894
2001-10-01,0.5465909641459037
2002-01-01,-0.3915154718866414
2002-04-01,0.06509851257339094
2002-07-01,0.017781103659423758
2002-10-01,0.5366396004021121
2003-01-01,-0.36841580228618387
2003-04-01,0.09837382128494832
2003-07-01,-0.0016044194547063517
2003-10-01,0.47873593883237464
2004-01-01,-0.39329638358666563
2004-04-01,0.08908704135226553
2004-07-01,0.025462886254726813
2004-10-01,0.441006028811886
2005-01-01,-0.36081745119108233
2005-04-01,0.012358535637387202
2005-07-01,0.013700127138422058
2005-10-01,0.4580639451079005
2006-01-01,-0.4130421602342409
2006-04-01,0.11232390420141902
2006-07-01,0.011875858306088283
2006-10-01,0.3712950709839453
2007-01-01,-0.38086378362879647
2007-04-01,0.16345070710425502
2007-07-01,-0.005554264036971124
2007-10-01,0.4429196842925245
2008-01-01,-0.3551491340837877
2008-04-01,0.12964932841718646
2008-07-01,0.0609760293971493
2008-10-01,0.6107518205684035
2009-01-01,-0.2682399117247446
2009-04-01,0.12237684815768657
2009-07-01,-0.043224799939912684
2009-10-01,0.39849980237982985
2010-01-01,-0.3516918644656849
2010-04-01,0.08275550679194854
2010-07-01,-0.036062347232071246
2010-10-01,0.4279173436584014
2011-01-01,-0.3765454954994423
2011-04-01,0.20618811392771175
2011-07-01,-0.038405218169004884
2011-10-01,0.4810444746612521
2012-01-01,-0.36734696285547896
2012-04-01,0.28546197617902114
2012-07-01,-0.03508183024773148
2012-10-01,0.483560412205575
2013-01-01,-0.347031503356269
2013-04-01,0.14424155459815102
2013-07-01,-0.04000859704309967
2013-10-01,0.4961437913496507
2014-01-01,-0.37013881348884925
2014-04-01,0.22549907256430957
2014-07-01,-0.06284146157278148
2014-10-01,0.4555475711467192
2015-01-01,-0.3516646901183428
2015-04-01,0.23832220709557306
2015-07-01,-0.06558785026216318
2015-10-01,0.4344322291330527
2016-01-01,-0.34849968292859945
2016-04-01,0.13486911089242892
2016-07-01,0.009760712394141224
2016-10-01,0.4655872880795122
2017-01-01,-0.3937177437308653
2017-04-01,0.24070249259573373
2017-07-01,-0.04235471337419283
2017-10-01,0.4378099940615683
2018-01-01,-0.3405035149278347
2018-04-01,0.19974916499269657
2018-07-01,0.044913262157807665
2018-10-01,0.4043246807828793
2019-01-01,-0.3519974651575014
2019-04-01,0.2500639006295442
2019-07-01,-0.030602784399208938
2019-10-01,0.4270891968942825
2020-01-01,-0.3149393119388342
2020-04-01,0.4492892744227308
2020-07-01,-0.23142303596274072
2020-10-01,0.37554300245872985
2021-01-01,-0.35077653884061455
2021-04-01,0.12749840595909157
2021-07-01,0.06347263074271714
2021-10-01,0.3931432357960878
2022-01-01,-0.32887668106461165
2022-04-01,0.1839490713944254
2022-07-01,0.009295433373150752
2022-10-01,0.5410916397428303
2023-01-01,-0.293576450612669
2023-04-01,0.2583016242427927
2023-07-01,0.013638842389089856
2023-10-01,0.4897991321687847
2024-01-01,-0.3077302595244692
2024-04-01,0.19468197201811988
2024-07-01,0.004733495544852584
2024-10-01,0.46078512706925934
