t,construction_value_added_QoQ_change_annual
1991-04-01,0.01804166905617932
1991-07-01,0.08900622451831208
1991-10-01,0.13056651319670665
1992-01-01,0.033423719050261536
1992-04-01,0.02181476995742271
1992-07-01,0.0014166812017930575
1992-10-01,0.13734084610541508
1993-01-01,-0.1463574502867565
1993-04-01,0.0008558285000628274
1993-07-01,0.07983839601084308
1993-10-01,-0.06890848777999015
1994-01-01,0.12879805700136093
1994-04-01,0.09019213140360716
1994-07-01,-0.005126637899884878
1994-10-01,0.11774669650166292
1995-01-01,-0.2191110875210701
1995-04-01,0.10439355949148088
1995-07-01,-0.08485108554605392
1995-10-01,-0.08538341209673428
1996-01-01,-0.3299439836377962
1996-04-01,0.4911341948015928
1996-07-01,-0.07465989135479723
1996-10-01,0.0002913010212632905
1997-01-01,-0.19674678111268484
1997-04-01,0.14715807626180188
1997-07-01,-0.05101533844698525
1997-10-01,-0.002407280936962186
1998-01-01,-0.023003855402012996
1998-04-01,-0.11363329437205194
1998-07-01,-0.04755017046131116
1998-10-01,-0.09125285368068248
1999-01-01,0.05587067276770408
1999-04-01,-0.0028725295638917236
1999-07-01,0.07458149254131863
1999-10-01,-0.016850925844453024
2000-01-01,-0.004408053746990048
2000-04-01,-0.06136559413234943
2000-07-01,-0.04539690155165099
2000-10-01,-0.06179496928052064
2001-01-01,-0.08763975821217218
2001-04-01,-0.07377721506251111
2001-07-01,-0.021829143369639148
2001-10-01,-0.0010370305484389553
2002-01-01,-0.037845731545326666
2002-04-01,-0.1281483437563936
2002-07-01,-0.014736684801712308
2002-10-01,-0.07574562113531236
2003-01-01,-0.08207423653314427
2003-04-01,0.020568796599130135
2003-07-01,0.02773786990422078
2003-10-01,-0.10055420540930471
2004-01-01,0.005765612321564362
2004-04-01,-0.05878788914687638
2004-07-01,-0.10486809916518902
2004-10-01,-0.0749500134040687
2005-01-01,-0.0531215471752714
2005-04-01,0.03474116759121548
2005-07-01,0.03696585299388788
2005-10-01,-0.08902734654835265
2006-01-01,-0.15871361134716522
2006-04-01,0.2547013099550526
2006-07-01,0.09856806012937747
2006-10-01,0.06437354287821084
2007-01-01,-0.06273574015325278
2007-04-01,-0.16289607312723964
2007-07-01,0.010514603941454093
2007-10-01,0.07691774908041937
2008-01-01,0.09597141725570357
2008-04-01,-0.21602293481465196
2008-07-01,-0.054244272305973396
2008-10-01,-0.0004319421134588719
2009-01-01,0.020461922459974913
2009-04-01,-0.010703676757740088
2009-07-01,-0.0038736705994067977
2009-10-01,-0.016294684930587944
2010-01-01,0.036000809339006956
2010-04-01,0.32079315626041116
2010-07-01,-0.0986673273749652
2010-10-01,-0.14620741976615503
2011-01-01,0.2567919167756967
2011-04-01,0.020349368613824526
2011-07-01,-0.06735359753255488
2011-10-01,0.16240570607562232
2012-01-01,-0.03651161585274365
2012-04-01,-0.017377153584023364
2012-07-01,-0.042816498622910704
2012-10-01,-0.06073144913966788
2013-01-01,-0.07101467248604298
2013-04-01,0.10272257330548151
2013-07-01,0.06554219054295873
2013-10-01,0.03948436748216411
2014-01-01,0.057621183410007104
2014-04-01,-0.09440422985487495
2014-07-01,-0.014379634203662617
2014-10-01,-0.008837949242936793
2015-01-01,-0.06154394621950887
2015-04-01,-0.043197518719844674
2015-07-01,-0.013624201130476132
2015-10-01,0.035012260603549894
2016-01-01,0.07509940345477606
2016-04-01,-0.005260218228153701
2016-07-01,-0.01614009050431886
2016-10-01,-0.02902739254446296
2017-01-01,0.06647609111493646
2017-04-01,0.056097975956965085
2017-07-01,-0.012694473687604568
2017-10-01,0.049270518796171725
2018-01-01,-0.019998388459053107
2018-04-01,0.06965307347966321
2018-07-01,0.0058699641889694565
2018-10-01,0.06672079905224004
2019-01-01,-0.1688217406841952
2019-04-01,-0.046189244369813864
2019-07-01,0.03250931884014818
2019-10-01,-0.0192205831041794
2020-01-01,0.10218792259011233
2020-04-01,-0.14768176365694952
2020-07-01,-0.05482546614200834
2020-10-01,0.3894353666215553
2021-01-01,-0.33768211948733595
2021-04-01,0.2002065121799943
2021-07-01,-0.08168087937415747
2021-10-01,-0.004983379011573308
2022-01-01,-0.2582475864168292
2022-04-01,-0.11825380761911053
2022-07-01,-0.11468605088772876
2022-10-01,-0.04828826883278514
2023-01-01,0.04472983974515787
2023-04-01,-0.049277509341680625
2023-07-01,-0.03583221117246038
2023-10-01,-0.05690595174981006
2024-01-01,0.03925052428167741
2024-04-01,-0.07769656475134601
2024-07-01,-0.07970590071241535
2024-10-01,-0.05266276039159801
2025-01-01,0.058293993060805294
2025-04-01,-0.08367253913575357
2025-07-01,-0.032018052040742595
2025-10-01,0.06973710523197396
