t,personal_consumption_QoQ_change_annual
1970-04-01,0.1022932989399441
1970-07-01,0.089746737764135
1970-10-01,0.05029305006116647
1971-01-01,0.008153054875975174
1971-04-01,0.08745279334640488
1971-07-01,0.0448663301072838
1971-10-01,0.05341671465858866
1972-01-01,0.07255361573464425
1972-04-01,0.0136168253550224
1972-07-01,0.07992684172921649
1972-10-01,0.03692437921987257
1973-01-01,0.019834107119802713
1973-04-01,0.053277413322013745
1973-07-01,-0.012032350795449509
1973-10-01,-0.01766315454282319
1974-01-01,-0.02890794224151927
1974-04-01,0.01811399020136273
1974-07-01,0.04049496553299359
1974-10-01,-0.008837949242936793
1975-01-01,0.08842901163127581
1975-04-01,0.0143138878097413
1975-07-01,0.04080703982843259
1975-10-01,0.052505388040455125
1976-01-01,0.03828816484468245
1976-04-01,0.03322426511158971
1976-07-01,0.022134454429014516
1976-10-01,0.05296881712168178
1977-01-01,0.051504741561866574
1977-04-01,0.06925201333298303
1977-07-01,0.03361666772976002
1977-10-01,0.0115023979603468
1978-01-01,0.04425641132380642
1978-04-01,0.01419676116896973
1978-07-01,0.09239711978712961
1978-10-01,0.039101563238107984
1979-01-01,-0.027656642535721754
1979-04-01,0.1567254864935208
1979-07-01,-0.09011512952326761
1979-10-01,0.0652454210119755
1980-01-01,0.02084138757624987
1980-04-01,-0.022374896409944167
1980-07-01,0.02832877125012656
1980-10-01,-0.007929912976558318
1981-01-01,0.01334872245846741
1981-04-01,-0.037199132249571165
1981-07-01,0.0
1981-10-01,0.016134128279870374
1982-01-01,-0.0019951776979522107
1982-04-01,-0.03677161253046035
1982-07-01,-0.05592079091701907
1982-10-01,0.047181432931536316
1983-01-01,0.03413246298231232
1983-04-01,0.05664630904971424
1983-07-01,-0.05991982675124918
1983-10-01,0.06023675331311362
1984-01-01,0.03137540913179926
1984-04-01,0.01779638316934906
1984-07-01,0.019700606933748643
1984-10-01,-0.0006485609839496087
1985-01-01,0.015662942455608286
1985-04-01,0.0294026003862371
1985-07-01,0.04037925929950026
1985-10-01,0.03670822451609079
1986-01-01,0.03508160593863585
1986-04-01,0.0606326783985891
1986-07-01,0.023579502681503994
1986-10-01,0.01971294499156029
1987-01-01,-0.019331857154881393
1987-04-01,0.12535512442266916
1987-07-01,0.01672853945213082
1987-10-01,0.06664427392247796
1988-01-01,-0.08009358409730427
1988-04-01,0.09467669941539669
1988-07-01,0.04968743590852487
1988-10-01,0.007480367334446569
1989-01-01,0.02894588138021259
1989-04-01,0.003986611419240171
1989-07-01,0.06754623096437617
1989-10-01,0.0629101932117857
1990-01-01,0.03005635683657326
1990-04-01,0.04669132325127534
1990-07-01,0.03946356499528947
1990-10-01,0.02756409094772705
1991-01-01,0.1484187202768037
1991-04-01,-0.003588129914270266
1991-07-01,-0.06366624390947473
1991-10-01,0.06415969951823675
1992-01-01,0.08539276853623745
1992-04-01,-0.009537486015210317
1992-07-01,0.018303834372630057
1992-10-01,0.027936601699530383
1993-01-01,-0.017852266577900067
1993-04-01,-0.022377432497158734
1993-07-01,0.026999692604054104
1993-10-01,0.03296497597697834
1994-01-01,0.0034832336263441732
1994-04-01,0.01598369947892997
1994-07-01,0.014919548503462332
1994-10-01,0.01635957889958317
1995-01-01,-0.00538719313960867
1995-04-01,0.03383628688869611
1995-07-01,0.014700231391200136
1995-10-01,0.014155616179415187
1996-01-01,0.01753276169002871
1996-04-01,0.018921181094339268
1996-07-01,0.005766443496360685
1996-10-01,0.01250736462522739
1997-01-01,0.01536217690691477
1997-04-01,0.009065368193480916
1997-07-01,-0.009455080794433912
1997-10-01,0.029326743336798966
1998-01-01,0.020936716037972758
1998-04-01,-0.013086993632253852
1998-07-01,0.030985137327661505
1998-10-01,0.03794197521639675
1999-01-01,0.05918738532371415
1999-04-01,0.017006226270867897
1999-07-01,-0.0013637136491080337
1999-10-01,0.049104833608055065
2000-01-01,0.02724639725941258
2000-04-01,0.03574512221259729
2000-07-01,-0.00044255130151971134
2000-10-01,-0.0035366897296800204
2001-01-01,0.04779863287136221
2001-04-01,-0.029447953216168776
2001-07-01,0.017765499610655322
2001-10-01,0.013687090622184872
2002-01-01,-0.029010242895774363
2002-04-01,-0.02922216395862376
2002-07-01,0.03010180380485905
2002-10-01,0.01731081164203796
2003-01-01,-0.004821644829418492
2003-04-01,0.001319623727773278
2003-07-01,0.027529475455431385
2003-10-01,0.0
2004-01-01,0.0026218032694340643
2004-04-01,-0.005224762965455376
2004-07-01,-0.011742194048784294
2004-10-01,0.021641131245034417
2005-01-01,0.023297006856570546
2005-04-01,0.01306176237022294
2005-07-01,0.0
2005-10-01,-0.0021576128937107475
2006-01-01,0.03634999585660226
2006-04-01,0.019411674507910037
2006-07-01,-0.0004261439240647036
2006-10-01,0.041992492424772765
2007-01-01,-0.056155093327230676
2007-04-01,0.02811399479037191
2007-07-01,-0.003396303450831306
2007-10-01,-0.005095531038693424
2008-01-01,0.010692233262532103
2008-04-01,-0.015627174283864287
2008-07-01,0.0025616381376885045
2008-10-01,-0.022400971570024075
2009-01-01,0.032540606164294994
2009-04-01,0.015397492852349703
2009-07-01,-0.012648728842431844
2009-10-01,0.0038303940856583285
2010-01-01,-0.024816078906076844
2010-04-01,0.0390113809255026
2010-07-01,0.019609349458026948
2010-10-01,0.019513689573301907
2011-01-01,-0.010436689929262166
2011-04-01,0.017766063209481597
2011-07-01,0.015992948939837603
2011-10-01,0.010878561051969271
2012-01-01,0.0179902400137526
2012-04-01,0.00913330867771922
2012-07-01,0.012858237003048556
2012-10-01,-0.018794164879014863
2013-01-01,-0.013573765946278238
2013-04-01,0.03743616075348366
2013-07-01,0.015296089629499576
2013-10-01,-0.027556599512684965
2014-01-01,0.01159648271765068
2014-04-01,0.01696543145733842
2014-07-01,0.03148387587477597
2014-10-01,0.019645376758078648
2015-01-01,0.017090152486860077
